,Ano,Cidade,NumerodaEdicao,TotaldeAtletas,Mascote
0,1896,Athina,1,176,-
1,1900,Paris,2,1220,-
2,1904,St. Louis,3,650,-
3,1906,Athina,4,841,-
4,1908,London,5,2024,-
5,1912,Stockholm,6,2409,-
6,1920,Antwerpen,7,2675,-
7,1924,Paris,8,3256,-
8,1928,Amsterdam,9,3246,-
9,1932,Los Angeles,10,1922,-
10,1936,Berlin,11,4482,-
11,1948,London,12,4402,-
12,1952,Helsinki,13,4931,-
13,1956,Melbourne,14,3346,-
14,1960,Roma,15,5348,-
15,1964,Tokyo,16,5134,-
16,1968,Mexico City,17,5552,-
17,1972,Munich,18,7105,Waldi
18,1976,Montreal,19,6070,Amik
19,1980,Moskva,20,5252,Misha
20,1984,Los Angeles,21,6791,Sam
21,1988,Seoul,22,8443,Hodori
22,1992,Barcelona,23,9380,Cobi
23,1996,Atlanta,24,10324,Izzy
24,2000,Sydney,25,10639,"Olly, Syd e Millie"
25,2004,Athina,26,10537,Athena e Phevos
26,2008,Beijing,27,10880,"Beibei, Jingjing, Huanhuan, Yingying e Nini"
27,2012,London,28,10502,Wenlock
28,2016,Rio de Janeiro,29,11174,Vinícius
